index,WoFCO2,W,FCO2,XCO2,Ntubes,heat,Pfinal,Re,COfinal
1,2.800038997477679,4203.138539113744,1501.1,0.033914049283788404,29517.09840866647,595.3569088593212,-374.16703604019415,53166.776878043915,50.909379379894446
2,3.7999625161502073,4203.138539113744,1106.1,0.044851297052831605,30289.584271234056,580.1733133646634,-187.93260774184554,39176.46059262554,49.61101967013749
3,5.000164809795079,4203.138539113744,840.6,0.0566220779040641,31570.913832479633,556.6265379686613,-93.27829978399231,29772.84293748991,47.597518686156306
4,7.999883020772257,4203.138539113744,525.4,0.08477192581456336,33738.02046676198,520.8725415408658,-12.76060302511732,18608.924726948466,44.54016982297189
5,9.000296657631143,4203.138539113744,467.0,0.09294256252338641,34620.22909205506,507.59942750098395,-1.6400810569508337,16540.483028041035,43.40517669842143
6,10.401233702335421,4203.138539113744,404.1,0.10297672928981248,36110.46536066224,486.6513984675432,9.009164169140064,14312.65797904657,41.613896306013196
7,11.99868266946544,4203.138539113744,350.3,0.1145634081085743,37443.340056543355,469.32801509007146,17.02516928748983,12407.141482450344,40.13256186043366
8,12.200692421230025,4203.138539113744,344.5,0.11608166304887581,37575.758708157955,467.67408220728197,17.829178939234595,12201.714053449261,39.991132920337655
9,14.498580679937026,4203.138539113744,289.9,0.13022753374867463,39802.36987412125,441.5116115612459,24.823871970238457,10267.862739059783,37.75396203374074
10,16.502310715012737,4203.138539113744,254.7,0.140817713348895,41896.05438237363,419.44781498263,28.783003183332227,9021.13075615668,35.86727158996361
11,18.499729485535845,4203.138539113744,227.2,0.15030966556844885,44001.09794544587,399.38113564502294,31.57602155813484,8047.121394513626,34.1513560171516
12,21.49942986758948,4203.138539113744,195.5,0.16202059797861434,47439.57206488733,370.4335368591355,34.468872516026664,6924.354239455999,31.676026904819185
13,25.993435616040472,4203.138539113744,161.7,0.17570082506465368,52889.85290522819,332.2604904681619,37.16804707455586,5727.208187691086,28.411823412954462
14,43.02086529287353,4203.138539113744,97.7,0.21549853583508938,71369.3845219039,246.2289479557818,41.19039479168114,3460.4227642308956,21.05520695108823
